Filename,Paths
vbc.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\vbc.exe
vbc.exe,C:\Windows\Microsoft.NET\Framework\v3.5\vbc.exe
vbc.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\vbc.exe
vbc.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\vbc.exe
vbc.exe,C:\Windows\Microsoft.NET\Framework64\v3.5\vbc.exe
vbc.exe,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\vbc.exe
vbc.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\vbc.exe
vbc.exe,C:\Windows\Microsoft.NET\Framework\v3.5\vbc.exe
vbc.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\vbc.exe
vbc.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\vbc.exe
vbc.exe,C:\Windows\Microsoft.NET\Framework64\v3.5\vbc.exe
vbc.exe,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\vbc.exe
verclsid.exe,C:\Windows\System32\verclsid.exe
verclsid.exe,C:\Windows\SysWOW64\verclsid.exe
wab.exe,C:\Program Files\Windows Mail\wab.exe
wab.exe,C:\Program Files (x86)\Windows Mail\wab.exe
wbadmin.exe,C:\Windows\System32\wbadmin.exe
wbadmin.exe,C:\Windows\System32\wbadmin.exe
wbemtest.exe,C:\windows\system32\wbem\wbemtest.exe
winget.exe,C:\Users\user\AppData\Local\Microsoft\WindowsApps\winget.exe
winget.exe,C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_.*_x64__8wekyb3d8bbwe\winget.exe
winget.exe,C:\Users\user\AppData\Local\Microsoft\WindowsApps\winget.exe
wlrmdr.exe,C:\windows\system32\wlrmdr.exe
wmic.exe,C:\Windows\System32\wbem\wmic.exe
wmic.exe,C:\Windows\SysWOW64\wbem\wmic.exe
wmic.exe,C:\Windows\System32\wbem\wmic.exe
